0 206 135
1 92 130
2 96 142
3 103 153
4 110 164
5 119 176
6 127 184
7 142 193
8 155 193
9 168 186
10 179 175
11 190 161
12 198 149
13 190 90
14 189 83
15 182 81
16 173 82
17 168 86
18 171 90
19 178 94
20 184 93
21 106 85
22 111 80
23 119 79
24 129 81
25 133 88
26 109 90
27 127 91
28 119 92
29 170 76
30 180 74
31 190 74
32 97 73
33 101 69
34 132 74
35 127 71
36 120 67
37 113 65
38 106 66
39 128 156
40 135 150
41 160 149
42 168 160
43 145 147
44 153 147
45 156 133
46 138 169
47 144 97
48 143 107
49 138 113
50 134 123
51 136 129
52 146 133
53 164 132
54 166 123
55 162 114
56 158 103
57 158 96
58 133 163
59 168 153
60 156 172
61 146 175
62 164 167
