0 206 135
1 88 122
2 92 137
3 99 150
4 106 163
5 117 176
6 128 187
7 142 193
8 155 193
9 164 184
10 179 175
11 190 164
12 199 152
13 192 91
14 190 86
15 182 84
16 175 84
17 168 86
18 170 94
19 178 97
20 187 94
21 108 86
22 115 82
23 122 83
24 129 84
25 133 89
26 129 92
27 122 94
28 111 93
29 170 76
30 180 74
31 190 74
32 96 75
33 112 69
34 132 76
35 126 73
36 118 71
37 109 70
38 101 73
39 128 156
40 138 153
41 158 150
42 171 157
43 146 150
44 151 152
45 156 133
46 142 164
47 144 97
48 143 107
49 138 113
50 134 123
51 137 133
52 146 133
53 164 132
54 166 123
55 162 114
56 158 103
57 158 96
58 136 162
59 167 151
60 165 158
61 150 167
62 158 164
