0 207 130
1 92 115
2 97 130
3 101 142
4 109 154
5 120 167
6 132 177
7 174 175
8 147 183
9 158 181
10 182 166
11 193 155
12 199 142
13 186 87
14 189 80
15 181 77
16 173 78
17 165 79
18 164 84
19 169 88
20 179 88
21 118 89
22 108 86
23 120 78
24 129 78
25 134 85
26 111 78
27 127 89
28 208 115
29 163 67
30 170 65
31 177 66
32 186 65
33 111 65
34 132 69
35 125 66
36 119 65
37 105 66
38 98 69
39 143 139
40 136 141
41 160 141
42 167 148
43 149 141
44 155 139
45 151 121
46 132 149
47 141 86
48 143 94
49 137 101
50 135 110
51 134 119
52 143 121
53 160 120
54 165 114
55 161 106
56 158 100
57 156 89
58 126 147
59 169 144
60 157 151
61 142 153
62 151 155
